"key","num","chartType","targetA","targetB","actualDiff","input","time","chartData_1","chartData_2","chartData_3","chartData_4","chartData_5","chartData_6","chartData_7","chartData_8","chartData_9","chartData_10"
"j518tel6",1,"pie",46,7,0.15,0.2,11.4,39,31,52,69,95,7,74,46,63,19
"j518tel6",2,"Bar",54,75,0.72,0.75,16.3,75,69,46,80,31,16,54,39,24,95
"j518tel6",3,"Bubble",84,48,0.57,0.7,22.73,84,43,53,60,98,12,67,48,79,21
"j518tel6",4,"Bar",18,36,0.5,0.52,28.01,36,64,10,23,18,73,52,46,58,29
"j518tel6",5,"Bubble",68,99,0.69,0.6,36.59,86,99,6,13,39,23,53,76,68,93
"j518tel6",6,"pie",90,20,0.22,0.25,42.39,31,52,20,63,44,96,8,84,57,90
"j518tel6",7,"Bubble",80,51,0.64,0.7,49.82,51,70,80,4,91,36,64,43,13,24
"j518tel6",8,"pie",56,37,0.66,0.8,53.99,37,88,56,73,50,29,81,45,96,13
"j518tel6",9,"Bar",51,13,0.25,0.35,58.94,92,68,77,99,3,30,39,13,19,51
"j518tel6",10,"pie",17,24,0.71,0.6,65.26,17,54,43,67,34,86,5,24,49,59
"j518tel6",11,"Bar",14,80,0.18,0.25,78.85,33,94,14,4,63,50,80,74,39,23
"j518tel6",12,"Bubble",12,70,0.17,0.2,84.55,47,5,36,87,70,61,54,75,12,92
"j518tel6",13,"Bar",25,80,0.31,0.35,89.45,43,25,74,62,8,33,92,80,86,16
"j518tel6",14,"Bubble",25,97,0.26,0.25,95.15,43,36,97,71,83,25,61,20,77,88
"j518tel6",15,"pie",72,98,0.73,0.8,103.61,34,12,19,72,93,6,54,98,65,40
"j518tel6",16,"Bubble",60,29,0.48,0.6,114.43,75,48,22,29,39,65,97,60,70,12
"j518tel6",17,"pie",12,92,0.13,0.15,121.5,12,26,61,39,92,49,4,56,34,70
"j518tel6",18,"Bar",59,41,0.69,0.75,125.73,34,54,14,47,29,67,99,59,83,41
"j518lzh1",1,"Bar",94,18,0.19,0.22,17.31,83,59,18,43,89,94,6,37,78,50
"j518lzh1",2,"Bubble",89,50,0.56,0.5,46.66,89,4,58,50,35,83,97,77,20,14
"j518lzh1",3,"pie",89,99,0.9,0.85,53.81,68,37,50,75,20,89,29,99,83,15
"j518lzh1",4,"Bubble",99,67,0.68,0.65,60.06,30,48,10,25,99,58,88,94,83,67
"j518lzh1",5,"pie",16,47,0.34,0.3,67.9,96,91,47,53,16,36,58,23,74,66
"j518lzh1",6,"Bar",4,69,0.06,0.08,86.87,19,84,4,54,26,37,43,95,12,69
"j518lzh1",7,"pie",87,45,0.52,0.55,99.01,45,59,87,22,4,36,50,77,29,97
"j518lzh1",8,"Bar",51,13,0.25,0.3,106.04,51,95,57,79,85,13,69,35,25,19
"j518lzh1",9,"Bubble",66,26,0.39,0.45,115.78,53,45,95,37,19,5,26,73,79,66
"j518lzh1",10,"Bar",37,80,0.46,0.48,121.1,9,91,66,24,37,45,85,74,80,98
"j518lzh1",11,"Bubble",65,24,0.37,0.35,133.84,37,49,96,24,80,44,4,54,12,65
"j518lzh1",12,"pie",3,26,0.12,0.2,142.68,26,88,93,13,3,74,52,38,18,69
"j518lzh1",13,"Bubble",79,58,0.73,0.65,149.46,74,85,18,41,50,6,92,58,67,79
"j518lzh1",14,"pie",72,22,0.31,0.35,155.77,72,44,22,64,14,90,33,58,78,97
"j518lzh1",15,"Bar",22,73,0.3,0.35,168.24,16,88,96,30,22,6,58,73,78,52
"j518lzh1",16,"pie",54,92,0.59,0.6,176.61,70,92,32,76,54,15,40,5,49,60
"j518lzh1",17,"Bar",5,49,0.1,0.15,189.62,23,10,57,74,31,5,87,95,49,62
"j518lzh1",18,"Bubble",91,39,0.43,0.35,197.52,7,91,24,85,80,98,53,39,14,60
"j518wzbi",1,"pie",66,90,0.73,0.85,17.74,38,30,98,53,19,90,45,66,7,71
"j518wzbi",2,"Bubble",64,35,0.55,0.55,27.09,10,41,20,49,5,64,96,57,77,35
"j518wzbi",3,"Bar",56,25,0.45,0.48,35.13,95,51,20,25,36,44,56,67,30,15
"j518wzbi",4,"Bubble",8,93,0.09,0.08,44.9,47,59,23,53,14,42,81,8,32,93
"j518wzbi",5,"Bar",38,87,0.44,0.45,53.1,6,87,75,49,80,14,38,55,62,19
"j518wzbi",6,"pie",96,91,0.95,0.9,66.04,8,96,27,91,81,20,49,86,74,67
"j518wzbi",7,"Bar",98,56,0.57,0.6,75.38,23,28,56,42,68,98,93,75,34,50
"j518wzbi",8,"pie",40,87,0.46,0.5,88.61,72,3,40,22,87,33,63,93,13,50
"j518wzbi",9,"Bubble",49,55,0.89,0.95,94.96,73,24,42,10,31,90,49,81,4,55
"j518wzbi",10,"pie",67,96,0.7,0.8,101.04,20,76,14,48,25,59,39,67,3,96
"j518wzbi",11,"Bubble",18,69,0.26,0.23,112.78,57,91,38,69,75,63,12,18,97,24
"j518wzbi",12,"Bar",18,67,0.27,0.35,126.9,56,18,80,47,11,5,93,72,38,67
"j518wzbi",13,"Bubble",81,8,0.1,0.09,140.27,81,43,53,87,28,15,97,8,64,92
"j518wzbi",14,"Bar",7,12,0.58,0.55,147.36,74,67,84,56,23,7,96,43,30,12
"j518wzbi",15,"pie",70,84,0.83,0.85,159.56,18,39,90,30,84,96,48,70,65,55
"j518wzbi",16,"Bar",28,74,0.38,0.4,167.71,35,28,93,45,74,17,12,4,58,67
"j518wzbi",17,"pie",48,8,0.17,0.18,176.06,59,97,8,67,18,73,48,3,29,43
"j518wzbi",18,"Bubble",12,89,0.13,0.16,184.7,71,31,42,47,12,81,76,89,55,7
